params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",4.146472972375095,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",3.981975812579229,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",4.081186749433019,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",4.263470531319189,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",4.248382728327211,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",4.360422513627142,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",4.27276283029115,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",4.743293828879864,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",5.071005103326492,100,0.00016368408927154327,0.0,0.0,0.007352941176470588,0.000946108772457313
"{""discount_factor"": 0.9}",5.629668030503261,100,0.0009117916556799525,0.0,0.0,0.00684931506849315,0.0019332893084224691
